media,date added,averageRating,numVotes,genres
american psycho,January 2014,7.6,728640.0,Crime
the grapes of wrath,January 2014,8.1,100776.0,Drama
big trouble in little china,January 2014,7.2,155675.0,Action
the apartment,January 2014,8.3,198880.0,Comedy
mommie dearest,January 2014,6.6,18612.0,Biography
3 women,January 2014,7.7,17651.0,Drama
hotel rwanda,January 2014,8.1,374105.0,Biography
the amityville horror,January 2014,6.2,45005.0,Horror
beverly hills cop iii,January 2014,5.5,93585.0,Action
big star: nothing can hurt me,January 2014,7.1,1458.0,Documentary
bull durham,January 2014,7.0,60102.0,Comedy
bulletproof monk,January 2014,5.5,52378.0,Action
changing lanes,January 2014,6.5,75042.0,Drama
children of a lesser god,January 2014,7.2,18842.0,Drama
control room,January 2014,7.7,5274.0,Documentary
the day the earth stood still,January 2014,7.7,86379.0,Drama
days of thunder,January 2014,6.1,97229.0,Action
escape from alcatraz,January 2014,7.6,148817.0,Action
ghost,January 2014,7.2,613.0,Horror
ghost dog: the way of the samurai,January 2014,7.5,97844.0,Crime
good burger,January 2014,5.8,34013.0,Comedy
hansel & gretel: witch hunters,January 2014,6.1,217947.0,Action
narc,January 2014,7.6,13.0,Drama
the ninth gate,January 2014,6.7,199022.0,Mystery
raging bull,January 2014,8.1,383177.0,Biography
red dawn,January 2014,6.3,63829.0,Action
reindeer games,January 2014,5.8,42579.0,Action
saved!,January 2014,6.7,49292.0,Comedy
scrooged,January 2014,6.9,116945.0,Comedy
some like it hot,January 2014,6.6,321.0,Comedy
spaceballs,January 2014,7.1,208965.0,Adventure
stand up guys,January 2014,6.4,57989.0,Comedy
star trek: the motion picture,January 2014,6.4,97299.0,Adventure
texas chainsaw,January 2014,4.8,56465.0,Horror
thelma and louise,January 2014,8.5,50.0,Comedy
tora! tora! tora!,January 2014,7.5,37565.0,Action
the virgin suicides,January 2014,7.2,171090.0,Drama
west side story,January 2014,7.6,121943.0,Crime
alyce kills,February 2014,5.4,3227.0,Horror
bubba ho-tep,February 2014,6.9,51744.0,Comedy
the usual suspects,February 2014,8.5,1153976.0,Crime
a life less ordinary,February 2014,6.3,37306.0,Comedy
suddenly,February 2014,6.8,7449.0,Crime
city of men,February 2014,7.8,202.0,Short
the naked gun,February 2014,7.8,94.0,Western
heartbreakers,February 2014,6.1,654.0,Drama
broken,February 2014,6.8,196.0,Drama
home of the brave,February 2014,7.0,800.0,Drama
north dallas forty,February 2014,6.9,6050.0,Comedy
concussion,February 2014,5.4,19.0,Adventure
down periscope,February 2014,6.2,27015.0,Comedy
intersection,February 2014,5.4,9167.0,Drama
airheads,February 2014,6.2,56783.0,Comedy
leap of faith,February 2014,6.1,126.0,Drama
failure to launch,February 2014,5.6,86324.0,Comedy
american milkshake,February 2014,4.7,343.0,Comedy
star trek v: the final frontier,February 2014,5.5,64686.0,Action
flashdance,February 2014,6.2,60128.0,Drama
mash,February 2014,8.7,88.0,Comedy
patriot games,February 2014,6.8,121474.0,Action
shes having a baby,February 2014,7.4,42.0,Comedy
the hard way,February 2014,7.1,1505.0,Drama
marathon man,February 2014,7.4,70807.0,Crime
queer as folk,February 2014,8.2,7672.0,Comedy
airplane!,February 2014,7.7,263945.0,Comedy
jesus christ superstar,February 2014,7.4,30175.0,Drama
bad parents,February 2014,6.3,29.0,Animation
sunset boulevard,February 2014,8.4,238561.0,Drama
the dancer upstairs,February 2014,6.8,6898.0,Crime
harold and maude,February 2014,7.9,82300.0,Comedy
vanilla sky,March 2014,6.9,287665.0,Fantasy
brokedown palace,March 2014,6.4,24186.0,Drama
below,March 2014,6.1,24309.0,Action
true grit,March 2014,7.4,51869.0,Adventure
over the top,March 2014,6.1,20.0,Drama
the wood,March 2014,7.0,10324.0,Comedy
roman holiday,March 2014,8.0,148777.0,Comedy
dirty pretty things,March 2014,7.2,44227.0,Crime
the blair witch project,March 2014,6.5,289044.0,Horror
robin hood: men in tights,March 2014,6.7,138117.0,Adventure
the united states of leland,March 2014,7.0,24376.0,Drama
american dreamz,March 2014,5.5,25265.0,Comedy
the ice storm,March 2014,7.3,60420.0,Drama
kicking and screaming,March 2014,6.7,15317.0,Comedy
dirty dancing,March 2014,7.1,259702.0,Drama
harsh times,March 2014,6.8,68851.0,Action
the silence of the lambs,March 2014,8.6,1564965.0,Crime
the bad news bears,March 2014,7.3,25375.0,Comedy
night of the living dead,March 2014,7.8,140330.0,Horror
arthur and the invisibles,March 2014,6.0,41254.0,Adventure
the station agent,March 2014,7.6,73918.0,Comedy
night of the comet,March 2014,6.3,24511.0,Comedy
the long goodbye,March 2014,7.5,38070.0,Comedy
serpico,March 2014,7.7,136335.0,Biography
woody woodpecker goes to camp,April 2014,4.5,2109.0,Adventure
role models,April 2014,6.8,242466.0,Comedy
happy gilmore,April 2014,7.0,251889.0,Comedy
dead boy detectives,April 2014,7.5,15956.0,Action
demetri martin: demetri deconstructed,April 2014,6.8,446.0,Comedy
mortal engines,April 2014,6.9,47.0,Comedy
neal brennan: crazy good,April 2014,7.2,1070.0,Comedy
inside man,April 2014,7.6,401823.0,Crime
fight for paradise: who can you trust?,April 2014,5.9,101.0,Reality-TV
the asunta case,April 2014,6.9,6497.0,Biography
smokey and the bandit ii,April 2014,5.3,17842.0,Action
parasyte: the grey,April 2014,7.1,11718.0,Action
good times,April 2014,4.5,748.0,Comedy
the matrix,April 2014,8.7,2074400.0,Action
the bricklayer,April 2014,6.9,137.0,Biography
the matrix reloaded,April 2014,7.2,635497.0,Action
how to be single,April 2014,6.1,95119.0,Comedy
king richard,April 2014,7.0,224.0,Crime
crime scene berlin: nightlife killer,April 2014,5.8,950.0,Crime
wild things,April 2014,6.6,132268.0,Crime
glass,April 2014,7.8,1163.0,Documentary
the grimm variations,April 2014,6.3,789.0,Animation
amar singh chamkila,April 2014,7.9,14323.0,Biography
the tearsmith,April 2014,5.1,8669.0,Drama
smokey and the bandit,April 2014,7.0,57844.0,Action
our living world,April 2014,7.7,703.0,Documentary
one piece film: red,April 2014,6.8,23077.0,Action
ripley,April 2014,8.3,18.0,\N
hack your health: the secrets of your gut,April 2014,6.6,2258.0,Documentary
city hunter,April 2014,6.3,12567.0,Action
talladega nights: the ballad of ricky bobby,April 2014,6.6,201941.0,Comedy
the hijacking of flight 601,April 2014,6.7,1695.0,Drama
files of the unexplained,April 2014,5.4,1043.0,Crime
a journey,April 2014,7.2,44.0,Short
unlocked: a jail experiment,April 2014,7.1,1695.0,Documentary
the land before time,April 2014,7.4,99884.0,Adventure
brigands: the quest for gold,April 2014,5.5,595.0,Action
the magic prank show with justin willman,April 2014,6.5,770.0,Comedy
battleship,April 2014,6.2,34.0,Comedy
the theory of everything,April 2014,6.6,30.0,Drama
honeymoonish,April 2014,5.2,1195.0,Comedy
the matrix revolutions,April 2014,6.7,547376.0,Action
the antisocial network: memes to mayhem,April 2014,6.3,2073.0,Documentary
inside man: most wanted,April 2014,5.6,4861.0,Action
what jennifer did,April 2014,6.0,8244.0,Crime
fiasco,April 2014,3.7,456.0,Comedy
scoop,April 2014,5.9,127.0,Drama
fern brady: autistic bikini queen,April 2014,6.5,520.0,Comedy
knocked up,April 2014,6.3,16.0,Adult
strange way of life,April 2014,6.2,10388.0,Drama
american graffiti,April 2014,7.4,99541.0,Comedy
jimmy carr: natural born killer,April 2014,6.7,2156.0,Comedy
tlc forever,April 2014,7.4,301.0,Biography
space jam: a new legacy,April 2014,4.4,462.0,Talk-Show
split,April 2014,5.5,222.0,Comedy
born on the fourth of july,April 2014,7.2,117393.0,Biography
stolen,April 2014,9.2,18.0,\N
crooks,April 2014,5.9,66.0,100
you only live twice,May 2014,6.8,118395.0,Action
maximum overdrive,May 2014,5.4,36557.0,Action
the big hit,May 2014,6.1,31785.0,Action
100 bloody acres,May 2014,6.0,4646.0,Comedy
a view to a kill,May 2014,6.3,105591.0,Action
hook,May 2014,6.0,412.0,75
ravenous,May 2014,6.9,43601.0,Adventure
call me crazy: a five film,May 2014,6.9,1956.0,Drama
candyman,May 2014,6.7,101005.0,Horror
winged migration,May 2014,7.9,12395.0,Documentary
encounters at the end of the world,May 2014,7.7,19356.0,Documentary
broadway idiot,May 2014,7.6,775.0,Documentary
goldfinger,May 2014,7.7,203880.0,Action
the odessa file,May 2014,7.0,12279.0,Drama
the juror,May 2014,5.7,20110.0,Crime
ordinary decent criminal,May 2014,6.3,14430.0,Comedy
the big chill,May 2014,7.1,42366.0,Comedy
return of the dragon,May 2014,7.0,129.0,Action
revenge,May 2014,8.1,37.0,Western
unhung hero,May 2014,5.6,2727.0,Documentary
cursed,May 2014,4.4,117.0,Horror
never say never again,May 2014,6.1,73594.0,Action
the city of lost children,May 2014,7.5,72042.0,Adventure
la bamba,May 2014,6.9,36835.0,Biography
shopping,May 2014,5.4,3085.0,Action
entity,May 2014,7.1,1138.0,Action
urban legends: bloody mary,May 2014,4.1,9628.0,Horror
all i want,May 2014,5.8,28.0,Drama
the jewel of the nile,May 2014,6.1,62940.0,Action
beethoven,May 2014,5.7,76984.0,Comedy
forrest gump,May 2014,8.8,2283359.0,Drama
from dusk till dawn,May 2014,7.2,343758.0,Action
live and let die,May 2014,6.7,116335.0,Action
sneakers,May 2014,7.1,62932.0,Comedy
terror of mechagodzilla,May 2014,6.1,5892.0,Action
fido,May 2014,6.7,30272.0,Comedy
bang the drum slowly,May 2014,6.7,6281.0,Drama
the human stain,May 2014,6.2,32427.0,Drama
gladiator,May 2014,6.5,10455.0,Action
backdraft,May 2014,6.7,88831.0,Action
romancing the stone,May 2014,6.9,104374.0,Action
top secret!,May 2014,7.2,73988.0,Comedy
diggstown,May 2014,6.9,8179.0,Drama
fantastic voyage,May 2014,6.8,21060.0,Adventure
the prince of tides,May 2014,6.8,20022.0,Drama
anatomy of a murder,May 2014,8.0,72439.0,Drama
godzilla raids again,May 2014,5.7,8597.0,Action
mr. smith goes to washington,May 2014,8.1,122227.0,Comedy
diana,May 2014,7.0,82.0,Comedy
heavy metal,May 2014,6.6,38556.0,Adventure
bed of roses,May 2014,6.4,1032.0,Comedy
thérèse,May 2014,7.3,1003.0,Drama
for your eyes only,May 2014,6.7,109009.0,Action
adventures in babysitting,May 2014,6.9,49812.0,Adventure
the legend of bagger vance,May 2014,6.7,59752.0,Drama
bridget jones: the edge of reason,May 2014,6.0,123260.0,Comedy
kiss the girls,May 2014,6.6,86454.0,Crime
rodan,May 2014,6.2,6112.0,Action
school daze,May 2014,6.1,8143.0,Comedy
the buddy holly story,May 2014,7.2,10076.0,Biography
paper moon,May 2014,8.1,53009.0,Comedy
single white female,May 2014,6.4,42410.0,Drama
ichi the killer,May 2014,7.0,60489.0,Action
starman,May 2014,7.0,53057.0,Romance
the living daylights,May 2014,6.7,106490.0,Action
my girl 2,June 2014,5.3,21108.0,Comedy
the mean season,June 2014,6.1,5149.0,Crime
the adventures of milo and otis,June 2014,6.9,12840.0,Adventure
better than chocolate,June 2014,6.1,8808.0,Comedy
duplex,June 2014,5.9,62880.0,Comedy
funny lady,June 2014,6.2,6004.0,Biography
dance with me,June 2014,5.6,916.0,\N
my girl,June 2014,6.9,89844.0,Comedy
we were soldiers,June 2014,7.2,152379.0,Action
world war z,June 2014,7.0,728243.0,Action
the triplets of belleville,June 2014,7.7,57354.0,Adventure
picture perfect,June 2014,7.2,433.0,Comedy
gambit,June 2014,7.0,6832.0,Comedy
girl most likely,June 2014,7.6,249.0,Crime
harriet the spy,June 2014,6.0,11163.0,Comedy
nanking,June 2014,7.7,3598.0,Biography
blood and chocolate,June 2014,5.3,18361.0,Drama
rudy,June 2014,7.5,69603.0,Biography
the art of the steal,June 2014,7.4,426.0,Comedy
popeye,June 2014,5.4,35114.0,Adventure
lady vengeance,June 2014,7.5,86824.0,Crime
wolf creek 2,June 2014,6.1,23043.0,Horror
swept away,June 2014,7.5,6851.0,Adventure
reign over me,June 2014,7.4,99891.0,Drama
iron monkey,June 2014,7.5,17320.0,Action
the pirate fairy,June 2014,6.6,14828.0,Adventure
barbershop,June 2014,6.3,33771.0,Comedy
oldboy,June 2014,8.3,643784.0,Action
the believer,June 2014,7.1,41435.0,Drama
ever after: a cinderella story,June 2014,7.1,82271.0,Drama
loser,June 2014,7.4,22.0,Comedy
tarzan,June 2014,3.8,399.0,\N
el dorado,June 2014,6.9,33.0,Drama
bonnie and clyde,June 2014,7.7,121537.0,Action
romeo and juliet,June 2014,7.2,72.0,Drama
the stepford wives,June 2014,6.9,19796.0,Horror
left behind: the movie,June 2014,4.3,10612.0,Action
a river runs through it,June 2014,7.2,66075.0,Drama
carrie,June 2014,7.3,2752.0,Drama
elaine stritch: shoot me,June 2014,7.5,994.0,Documentary
clear and present danger,June 2014,6.9,109004.0,Action
i.q.,June 2014,6.2,26731.0,Comedy
the craft,June 2014,6.4,109338.0,Drama
jane eyre,June 2014,7.9,22.0,Drama
cold mountain,June 2014,7.2,157020.0,Adventure
apocalypse now,June 2014,8.4,716313.0,Drama
julia,June 2014,7.7,700.0,Comedy
first knight,June 2014,6.0,79250.0,Action
lawless,June 2014,7.5,55.0,Action
the chorus,June 2014,7.2,708.0,Drama
tetro,June 2014,6.8,13777.0,Drama
xxx: state of the union,June 2014,4.5,73952.0,Action
blue chips,July 2014,6.3,15332.0,Drama
the keys of the kingdom,July 2014,7.2,3126.0,Drama
knights of sidonia,July 2014,7.7,4661.0,Action
the battered bastards of baseball,July 2014,8.0,4628.0,Documentary
the karate kid,July 2014,7.3,247327.0,Action
basic instinct,July 2014,7.1,221421.0,Drama
homefront,July 2014,8.9,1441.0,Drama
gandhi,July 2014,8.0,240966.0,Biography
ararat,July 2014,6.3,14818.0,Drama
patton,July 2014,7.9,108654.0,Biography
philadelphia,July 2014,7.7,259906.0,Drama
the dark half,July 2014,6.0,19635.0,Horror
body of evidence,July 2014,5.4,134.0,Drama
boyz n the hood,July 2014,7.8,156554.0,Crime
jersey girl,July 2014,6.1,1797.0,Comedy
crimson tide,July 2014,7.3,124606.0,Action
legends of the fall,July 2014,7.5,184931.0,Drama
mean girls,July 2014,7.1,441334.0,Comedy
fever pitch,July 2014,4.1,358.0,Drama
best defense,July 2014,3.8,6463.0,Comedy
eight men out,July 2014,7.2,22361.0,Drama
funny face,July 2014,6.1,113.0,Animation
venus,July 2014,6.0,103.0,Short
madeline,July 2014,6.6,253.0,Animation
people i know,July 2014,5.4,11812.0,Crime
city of god,July 2014,8.6,807687.0,Crime
bad santa,July 2014,7.0,155670.0,Comedy
croupier,July 2014,7.0,23706.0,Crime
a raisin in the sun,July 2014,8.0,9747.0,Drama
primal fear,July 2014,7.7,249637.0,Crime
dead man walking,July 2014,5.0,395.0,Action
the master,July 2014,4.4,1634.0,Action
under the tuscan sun,July 2014,6.7,61078.0,Comedy
out of the furnace,July 2014,6.7,125913.0,Action
the hunt for red october,July 2014,7.5,216607.0,Action
american ninja,July 2014,5.4,16972.0,Action
lassie,August 2014,6.5,3864.0,Adventure
ella enchanted,August 2014,6.3,75664.0,Comedy
alien abduction,August 2014,2.6,1476.0,Horror
spice world,August 2014,3.7,38023.0,Comedy
kinky boots,August 2014,7.1,21661.0,Comedy
10 rules for sleeping around,August 2014,3.6,3042.0,Comedy
freaky friday,August 2014,6.3,14247.0,Comedy
sabrina,August 2014,7.6,71059.0,Comedy
immigration tango,August 2014,4.0,366.0,Comedy
mad max,August 2014,6.8,231194.0,Action
caveman,August 2014,5.8,8694.0,Comedy
rocky ii,August 2014,7.3,233292.0,Drama
rocky iv,August 2014,6.9,228414.0,Drama
where the red fern grows,August 2014,6.9,3798.0,Drama
sky captain and the world of tomorrow,August 2014,6.1,87742.0,Action
allan quatermain and the lost city of gold,August 2014,4.6,10518.0,Action
playing by heart,August 2014,6.9,20383.0,Comedy
the birdcage,August 2014,7.2,102231.0,Comedy
trees lounge,August 2014,7.1,17771.0,Comedy
hawking,August 2014,7.4,6396.0,Biography
orca,August 2014,5.8,13451.0,Adventure
pumping iron,August 2014,7.3,25237.0,Documentary
face/off,August 2014,7.3,404139.0,Action
rocky iii,August 2014,6.8,213104.0,Drama
star trek iv: the voyage home,August 2014,7.3,92151.0,Action
the five heartbeats,August 2014,7.5,4950.0,Drama
blown away,August 2014,4.5,132.0,Action
chaplin,August 2014,7.5,62615.0,Biography
evita,August 2014,6.3,37785.0,Biography
vigilante force,August 2014,5.2,1098.0,Action
rounders,August 2014,7.3,161071.0,Crime
mean creek,August 2014,7.1,33484.0,Crime
day watch,August 2014,6.4,35509.0,Action
the longest day,August 2014,7.7,60046.0,Action
shooter,August 2014,6.8,123.0,Action
the mighty ducks,August 2014,6.6,72413.0,Comedy
the newton boys,August 2014,6.1,12491.0,Action
the cold lands,August 2014,6.2,505.0,Drama
bad boys,August 2014,6.7,147.0,Drama
prefontaine,August 2014,6.8,7715.0,Biography
d2: the mighty ducks,August 2014,6.1,43341.0,Comedy
art machine,August 2014,5.8,164.0,Comedy
the cable guy,August 2014,6.1,179429.0,Comedy
the conqueror worm,August 2014,6.0,66.0,Action
rocky v,August 2014,5.4,151789.0,Drama
rocky,August 2014,6.7,54.0,Drama
the gabby douglas story,August 2014,6.9,1851.0,Biography
dark tourist,August 2014,5.0,1202.0,Drama
the dogs of war,August 2014,6.3,9672.0,Action
lullaby,September 2014,6.6,93.0,Documentary
kid cannabis,September 2014,6.4,10589.0,Biography
silver linings playbook,September 2014,7.7,746668.0,Comedy
le week-end,September 2014,6.8,15.0,Comedy
bones,September 2014,6.0,80.0,Crime
3 days to kill,September 2014,6.2,98152.0,Action
a single man,September 2014,6.9,43.0,Comedy
jackass presents: bad grandpa,September 2014,6.5,98547.0,Comedy
one day,September 2014,6.3,23.0,Adventure
the moment,September 2014,5.0,45.0,Drama
the double,September 2014,6.3,54.0,Crime
all is lost,September 2014,8.3,6.0,Documentary
the boxcar children,October 2014,6.5,630.0,Adventure
kramer vs. kramer,October 2014,7.8,156170.0,Drama
three fugitives,October 2014,6.2,12840.0,Action
team america: world police,October 2014,7.2,179590.0,Action
paths of glory,October 2014,8.4,214780.0,Drama
bad johnson,October 2014,4.5,5363.0,Comedy
jay mohr: funny for a girl,October 2014,6.5,272.0,Comedy
jimmy neutron: boy genius,October 2014,6.1,38371.0,Action
rescue dawn,October 2014,7.3,111464.0,Adventure
shadow of the vampire,October 2014,6.9,44475.0,Drama
romeo + juliet,October 2014,6.7,246479.0,Drama
chicken run,October 2014,7.1,213648.0,Adventure
swelter,October 2014,4.5,3439.0,Action
stay,October 2014,6.7,86750.0,Drama
in a world...,October 2014,6.6,33145.0,Comedy
a long way down,October 2014,6.3,34751.0,Comedy
e-team,October 2014,7.1,950.0,Documentary
the phantom of the opera,October 2014,7.5,20272.0,Horror
sleepless in seattle,October 2014,6.8,192414.0,Comedy
little man,October 2014,7.2,645.0,\N
ernest saves christmas,October 2014,5.7,12920.0,Comedy
domestic disturbance,October 2014,5.6,28865.0,Crime
shane,October 2014,7.6,44564.0,Drama
heatstroke,October 2014,8.1,51.0,Adult
galaxy quest,October 2014,7.4,180253.0,Adventure
annie,October 2014,6.6,49999.0,Comedy
finding forrester,October 2014,7.3,90099.0,Drama
hit!,October 2014,6.1,882.0,Action
the wedding planner,October 2014,5.3,87387.0,Comedy
rain man,October 2014,8.0,550610.0,Drama
wyatt cenac: brooklyn,October 2014,6.3,244.0,Comedy
my father the hero,October 2014,5.5,11784.0,Comedy
bound by flesh,October 2014,6.5,538.0,Documentary
tombstone,October 2014,7.8,168813.0,Biography
breathe in,October 2014,6.4,9.0,\N
dirty rotten scoundrels,November 2014,7.4,79002.0,Comedy
star trek vi: the undiscovered country,November 2014,7.2,81433.0,Action
breakheart pass,November 2014,6.7,8976.0,Drama
la bare,November 2014,6.0,405.0,Documentary
cleopatra,November 2014,5.4,15.0,Drama
fatal attraction,November 2014,6.9,99757.0,Drama
the one i love,November 2014,4.5,14.0,Drama
quartet,November 2014,7.3,996.0,Drama
beyond the edge,November 2014,6.0,13.0,Documentary
sabotage,November 2014,7.0,18966.0,Crime
happy christmas,November 2014,7.4,630.0,\N
about cherry,November 2014,4.8,11007.0,Drama
sinbad: the fifth voyage,November 2014,3.5,3163.0,Action
road trip: beer pong,November 2014,4.8,12448.0,Comedy
doug benson: doug dynasty,November 2014,5.9,408.0,Comedy
heartburn,November 2014,6.1,12669.0,Comedy
dream house,November 2014,7.0,75.0,Comedy
ida,November 2014,7.1,14.0,\N
braveheart,November 2014,7.7,217.0,Western
the rocketeer,November 2014,6.6,62280.0,Action
donald glover: weirdo,November 2014,7.4,3813.0,Comedy
addams family values,November 2014,6.8,110698.0,Comedy
how to steal a million,November 2014,7.5,30128.0,Comedy
nebraska,November 2014,8.2,30.0,Drama
running from crazy,November 2014,6.5,348.0,Biography
trading mom,November 2014,5.4,2211.0,Comedy
kingpin,November 2014,6.9,91688.0,Comedy
altman,November 2014,6.8,1429.0,Biography
the core,November 2014,5.5,108012.0,Action
the grand seduction,November 2014,7.0,19476.0,Comedy
fading gigolo,November 2014,6.2,25557.0,Comedy
the blind swordsman: zatoichi,November 2014,7.5,51774.0,Action
war story,November 2014,6.5,274.0,Animation
total recall,November 2014,7.5,357639.0,Action
the quick and the dead,November 2014,5.8,181.0,Action
chelsea peretti: one of the greats,November 2014,6.9,2447.0,Comedy
the princess diaries 2: royal engagement,November 2014,5.8,89915.0,Comedy
the haunting,November 2014,7.4,42780.0,Horror
jay and silent bob strike back,November 2014,6.8,161753.0,Comedy
hell is for heroes,November 2014,6.9,7531.0,Drama
vito,January 2015,8.1,779.0,Biography
undertow,January 2015,5.9,58.0,Drama
the eleventh victim,January 2015,4.7,578.0,Crime
mental,January 2015,6.1,8.0,Comedy
johnny english reborn,January 2015,6.3,141983.0,Action
fantasia,January 2015,7.7,104836.0,Animation
101 dalmatians,January 2015,5.7,118274.0,Adventure
chinatown,January 2015,8.1,353328.0,Drama
fried green tomatoes,January 2015,7.7,84737.0,Drama
the war of the worlds,January 2015,7.0,38925.0,Action
the yes men,January 2015,6.8,6182.0,Comedy
fatal honeymoon,January 2015,5.5,944.0,Action
basic,January 2015,6.4,66900.0,Action
moonstruck,January 2015,7.2,69640.0,Comedy
only the lonely,January 2015,6.4,12453.0,Comedy
the pregnancy project,January 2015,6.5,1330.0,Drama
soul plane,January 2015,4.5,24779.0,Comedy
vietnam in hd,January 2015,8.3,1657.0,Documentary
frank,January 2015,5.5,18.0,Action
ring of fire,January 2015,6.2,677.0,Adventure
jeepers creepers,January 2015,6.6,306.0,Adventure
the kennedys,January 2015,5.9,21.0,Comedy
blue car,January 2015,6.6,3723.0,Drama
mystic pizza,January 2015,6.3,32886.0,Comedy
brasslands,January 2015,7.3,94.0,Documentary
fear and loathing in las vegas,January 2015,7.5,303577.0,Adventure
a small section of the world,January 2015,7.8,69.0,Biography
copenhagen,January 2015,7.2,1142.0,Drama
stalkers,January 2015,7.9,20.0,Short
d.a.r.y.l.,January 2015,6.3,14211.0,Family
gettysburg,January 2015,7.6,31619.0,Drama
red hollywood,January 2015,6.9,247.0,Documentary
bad boys ii,January 2015,6.6,272787.0,Action
footloose,January 2015,6.6,94214.0,Drama
tooth and nail,January 2015,8.0,16.0,Comedy
the ladies man,January 2015,6.3,4606.0,Comedy
the road to el dorado,January 2015,6.9,108829.0,Adventure
brick mansions,January 2015,5.6,44305.0,Action
automata,January 2015,7.8,25.0,Animation
the hero of color city,January 2015,3.9,756.0,Adventure
jack ryan: shadow recruit,January 2015,6.2,138797.0,Action
snatch,January 2015,5.7,563.0,Crime
enough,January 2015,5.8,48234.0,Crime
stonehearst asylum,January 2015,6.8,60888.0,Drama
chinese zodiac,January 2015,6.0,24684.0,Action
the kite runner,January 2015,7.6,82787.0,Drama
frankenstein and the monster from hell,January 2015,6.3,4385.0,Horror
sliding doors,January 2015,6.7,71936.0,Comedy
the agony and the ecstasy,January 2015,7.1,8142.0,Biography
bless the child,January 2015,5.1,15454.0,Crime
marty,January 2015,7.7,27356.0,Drama
gangland,January 2015,5.7,52.0,Action
jack and the cuckoo-clock heart,January 2015,6.9,7518.0,Adventure
shall we dance?,January 2015,7.7,11801.0,Comedy
the bag man,January 2015,6.2,28.0,Comedy
blink,January 2015,6.2,9199.0,Crime
welcome to the jungle,January 2015,7.4,40.0,Comedy
taking lives,January 2015,6.2,95960.0,Crime
the quiet man,January 2015,7.7,42767.0,Comedy
insomnia,January 2015,5.5,27.0,Comedy
shining through,January 2015,6.4,10870.0,Drama
matters of life & dating,January 2015,4.9,135.0,Biography
barefoot,January 2015,7.1,11252.0,Comedy
the machinist,January 2015,7.6,418599.0,Drama
jeepers creepers 2,January 2015,5.7,71264.0,Horror
young mr. lincoln,January 2015,7.5,9269.0,Biography
to be takei,January 2015,6.9,1591.0,Biography
bird people,January 2015,6.1,3279.0,Drama
spy kids,January 2015,5.6,128417.0,Action
kids for cash,January 2015,7.1,2001.0,Crime
the odd couple,January 2015,7.6,37699.0,Comedy
what is cinema?,January 2015,6.1,397.0,Documentary
mr. mom,January 2015,6.6,28266.0,Comedy
blood and ties,January 2015,6.4,1532.0,Drama
bruce almighty,January 2015,6.8,437401.0,Comedy
ribbit,January 2015,2.4,23.0,Action
a killer among us,January 2015,6.0,85.0,Drama
kangaroo jack,January 2015,4.5,33986.0,Action
the running man,January 2015,6.5,1908.0,Crime
mystic river,January 2015,7.9,489421.0,Crime
neverlake,January 2015,5.3,2427.0,Drama
venom,January 2015,5.8,3278.0,Horror
the murder of princess diana,January 2015,5.1,520.0,Biography
taken from me: the tiffany rubin story,January 2015,6.2,895.0,Drama
swingers,January 2015,7.2,88658.0,Comedy
son of god,January 2015,7.2,47.0,Documentary
falcon rising,January 2015,5.8,9364.0,Action
big fish,January 2015,8.0,461167.0,Adventure
uptown girls,January 2015,6.2,44121.0,Comedy
patton oswalt: tragedy plus comedy equals time,January 2015,7.3,932.0,Comedy
she made them do it,January 2015,6.2,1720.0,Crime
the evening star,January 2015,5.9,5064.0,Comedy
four weddings and a funeral,January 2015,7.1,167873.0,Comedy
the mod squad,January 2015,4.3,9553.0,Action
ardennes fury,January 2015,2.4,955.0,Action
to kill a man,January 2015,8.4,24.0,Drama
twist of faith,January 2015,7.2,985.0,Documentary
reviving ophelia,January 2015,6.3,1090.0,Drama
bowling for columbine,January 2015,8.0,149204.0,Crime
jarhead 2: field of fire,January 2015,5.4,6776.0,Action
regarding henry,January 2015,6.7,34583.0,Drama
dirty dancing: havana nights,January 2015,5.9,29639.0,Drama
restless virgins,January 2015,5.5,958.0,Biography
beauty shop,January 2015,5.6,18839.0,Comedy
cast away,January 2015,7.8,645153.0,Adventure
zombies: when the dead walk,January 2015,5.7,12.0,Documentary
robocop 2,January 2015,5.8,94116.0,Action
from the rough,January 2015,6.6,1084.0,Drama
fantasia 2000,January 2015,7.1,41732.0,Animation
batman and robin,January 2015,5.9,2134.0,Action
iliza shlesinger: freezing hot,January 2015,6.8,2847.0,Comedy
the whole nine yards,January 2015,6.7,129930.0,Comedy
valkyrie,January 2015,7.1,261075.0,Drama
and baby will fall,January 2015,5.6,640.0,Drama
wwii in hd,January 2015,8.7,2438.0,Documentary
the killing game,January 2015,6.3,310.0,Adventure
better living through chemistry,January 2015,7.4,403.0,Action
get low,January 2015,7.0,24099.0,Drama
secrets in the walls,January 2015,5.1,1760.0,Drama
get shorty,January 2015,6.9,90019.0,Comedy
open road,January 2015,7.3,7.0,Drama
liz & dick,January 2015,4.0,4368.0,Biography
murder by numbers,January 2015,5.0,101.0,Crime
election,January 2015,7.2,105594.0,Comedy
the girl with the dragon tattoo,January 2015,7.8,224042.0,Crime
the ouija experiment,January 2015,3.2,3460.0,Horror
deep impact,January 2015,6.2,192111.0,Action
true confessions of a hollywood starlet,January 2015,5.5,1535.0,Comedy
notting hill,January 2015,7.2,346414.0,Comedy
